[    5050ms] [WARNING] Unrecognized feature: 'web-share'. @ https://www.google.com/xjs/_/js/k=xjs.s.en_GB.pP078obxabA.2019.O/am=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABABEAAABEAIAAAgAAAAAAAAAAAAAAAAAAABgACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAEAAiABAAAAAAAAAFAEAAAAAAACAAAAAAAAAAwAIAAACCAEAAAAQAEAAAAAAAAAAAAAAAAAAAAAAAACAQAAQAQCBAAAgD8z3wAAQAMAAAAAgAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAJAAAAAAAAAAAACwAAAAQDAAAEQEAABAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAIAAAAAAAKAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAEAAAAKAAAAAAAgAMAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAQwAAAAAAAAAAAAAAUABPwAEAABAAAAAAAgAAAAAAAAAgQAAAAAAABAACAAgAEAAACQA-DxABwiKAAAAAAAAAAAAAAAAAAAAAAAAAAACIACmANJQAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgRngIAAAAAANgaABA/d=0/dg=0/br=1/rs=ACT90oFqbH6RtaGtyZA5Ig8h4yfxUBgQGg/cb=loaded_h_0/m=sy3gn,P10Owf,sy3dr,gSZvdb,sy63h,sy25m,sy20p,sy20n,sy20o,sy3fb,sy3fa,VD4Qme,sy659,TmFfhf,sy2eh,Dq2Yjb,sy2ek,sy2ei,sy21f,NVlnE,sy2em,sy2e3,qmdEUe,sy2eo,sy2en,UqGwg,sy6qs,qcH9Lc,sy8kp,sy6qu,TQYZRb,sy8kn,pjDTFb,gCngrf,sy6qr,sy34c,sA1ssc,sy6ql,khkNpe?cb=121509378&xjs=s4:152
[   10684ms] [WARNING] A speculation rule set was inserted into the document but will be ignored. This might happen, for example, if it was previously inserted into another document, or if it was created using the innerHTML setter. @ https://www.google.com/xjs/_/js/k=xjs.s.en_GB.pP078obxabA.2019.O/am=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABABEAAABEAIAAAgAAAAAAAAAAAAAAAAAAABgACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAIEAAiABAAAAAAAAAFAEAAAAAAACAAAAAAAAAAwAIAAACKAEAAAAQCEBAAAAAAAAAAAAAAAAAAAAAAACAQAAQAQCBAAAgD8z3wAAQAMAAAAAgAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAJAAAAAAAAAAAACwAAAAQDAAAEQEAABAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAIAAAAAAAKAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAEAAAAKAAAAAAAgAMAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAQwAAAAAAAAAAAAAAUABPwAEAABAAAAAAAgAAAAAAAAAgQAAAAAAABAACAAgAEAAACQA-DxABwiKAAAAAAAAAAAAAAAAAAAAAAAAAAACIACmANJQQAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgRngIAAAAAANgaABA/d=1/ed=1/dg=4/br=1/ichc=1/rs=ACT90oHpWXbmrRRge803S1G4J9i0SdcsIg/ee=ALeJib:B8gLwd;AfeaP:TkrAjf;BMxAGc:E5bFse;BgS6mb:fidj5d;BjwMce:cXX2Wb;CIZTGb:Kqhykb;CxXAWb:YyRLvc;DM55c:imLrKe;DQEued:Fevhcf;DULqB:RKfG5c;Dkk6ge:JZmW9e;DpcR3d:zL72xf;EABSZ:MXZt9d;ESrPQc:mNTJvc;EVNhjf:pw70Gc;EjXHpb:pSHqh;EmZ2Bf:zr1jrb;EnlcNd:WeHg4;F54IAe:ZgsFh;F9mqte:UoRcbe;FSxmUe:fiZR8b;Fkukfc:i8H2c;Fmv9Nc:O1Tzwc;FqHJkd:yQamIb;G0KhTb:LIaoZ;GleZL:J1A7Od;HMDDWe:G8QUdb;HtPxrd:Gx8jAb;IBADCc:RYquRb;IoGlCf:b5lhvb;IsdWVc:qzxzOb;JXJSm:ii1RGf;JXS8fb:Qj0suc;JqSq7d:y9ePhe;JsbNhc:Xd8iUd;K08hxe:zmbGlf;K5nYTd:ZDZcre;KA3P2:C3JnCe;KDb6nb:fE9n2;KOxcK:OZqGte;KQzWid:ZMKkN;KdIHef:BWtNj;KpRAue:Tia57b;LBgRLc:SdcwHb,XVMNvd;LBn8Cf:bJ9L0c;LEikZe:byfTOb,lsjVmc;LXA8b:q7OdKd;LsNahb:ucGLNb;MNkAde:KMCd1d;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;NjIwef:YVgi7d;Np8Qkd:Dpx6qc;Nyt6ic:jn2sGd;OIfWUb:qfOYcd;OgagBe:cNTe0;OiqE2c:TFpEK;OoK5v:Sp69O;OohIYe:mpEAQb;Pjplud:PoEs9b;PpTLXd:pJYjx;PqHfGe:im2cZe;Q1Ow7b:x5CSu;Q7iJ9c:bVLZ3d;QE20Be:yxCHBd;QFOGlf:PQ2Aoe;QGR0gd:Mlhmy;QYLF2b:pAQYUd;Qw8Feb:jpavUe;R4IIIb:QWfeKf;R9Ulx:CR7Ufe;RCF5Sd:X1kBmd;RZtOEd:DvKcFe;Raf5me:mgvFMc;SLtqO:Kh1xYe;SMDL4c:fTfGO;SNUn3:ZwDk9d,xD8Kp;SNk4Je:wWMhg;ScI3Yc:e7Hzgb,e7Hzgb;ShpF6e:N0pvGc;Snahre:mGCtob;SwCqAd:fXbCZc;SzQQ3e:dNhofb;TIUVQd:lWTJwd;TroZ1d:vVVzjb;U96pRd:FsR04;UBKJZ:LGDJGb;UDrY1c:N0F29d,W50NVd,eps46d,wciyUe;UVmjEd:EesRsb;UVzb9c:IvPZ6d;UYRIEb:HzTAQc;UyG7Kb:wQd0G;V2HTTe:RolTY;VGRfx:VFqbr;VMuEm:pL7sBc;VN6jIc:ddQyuf;VOcgDe:YquhTb;VhA7bd:vAmQFf;VsAqSb:PGf2Re;W9QSQe:ynCWwc;WDGyFe:jcVOxd;WXtNeb:QU9BMd;Wfmdue:g3MJlb;Wl55ib:NcYlP;Y3c5sd:FGbfLe;YIZmRd:A1yn5d;YV5bee:IvPZ6d;YnHUBf:sNsSob;ZMvdv:PHFPjb;ZSH6tc:QAvyLe;ZWEUA:afR4Cf;Zen4yb:jMF88c;ZlFEdf:fQTtic;ZlOOMb:P0I0Ec;ZnPvub:Acmyhd;a56pNe:JEfCwb;aAJE9c:WHW6Ef;aCJ9tf:qKftvc;aVZq3e:EMeVIb;aZ61od:arTwJ;aci7y:Z5Tr6c;bUIkwb:WMwEHe;bcPXSc:gSZLJb;cEt90b:ws9Tlc;cFTWae:gT8qnd;coJ8e:KvoW8;dIoSBb:ZgGg9b;dLlj2:Qqt3Gf;dXdZV:a7QTqd;dowIGb:ebZ3mb,ebZ3mb;dtl0hd:lLQWFe;eBAeSb:Ck63tb;eBZ5Nd:audvde;eHDfl:ofjVkb;eJKchc:ATg1be;eO3lse:UefOmb;euOXY:OZjbQ;g8nkx:U4MzKc;gaub4:TN6bMe;gbfHR:qZtzib;gtVSi:ekUOYd;h3MYod:ws9Tlc;hK67qb:QWEO5b;hVic1b:Kqhykb;heHB1:sFczq;hjRo6e:F62sG;hlqGX:FWz1ic;hsLsYc:Vl118;hwoVHd:zw4U8c;iFQyKf:QIhFr;jJj2G:kF2o2b;k1O0rf:pnOULd;k2Qxcb:XY51pe;kbAm9d:MkHyGd;lOO0Vd:OTA3Ae;lbfkyf:MqGdUd;liAz7d:kF2o2b;lkq0A:JyBE3e;mMVOGb:qDM7K;mWzs9c:fz5ukf;nBZnZe:CvErjb;nE6OJf:Fi4rsc;nEBWNb:MxKX9d;nJw4Gd:dPFZH;nrDcw:SuEoDe;oGtAuc:sOXFj;oSUNyd:fTfGO,fTfGO;oUlnpc:RagDlc;oiBhre:OuMkRd;okUaUd:wItadb;pKJiXd:VCenhc;pNsl2d:j9Yuyc;pXdRYb:JKoKVe;pj82le:ww04Df;qGV2uc:HHi04c;qQEoOc:KUM7Z,d7YSfd;qZx2Fc:j0xrE;qaS3gd:yiLg6e;qafBPd:sgY6Zb;qavrXe:I0C9u;qddgKe:d7YSfd,x4FYXe;rdexKf:FEkKD;rmWaj:PMS6Sd;ropkZ:hjoqoe;sTsDMc:JksfDf;sZmdvc:rdGEfc;tH4IIe:Ymry6;teSRSb:BMLai;tosKvd:ZCqP3;trZL0b:qY8PFe;twgzJd:Ix7YEd;uknmt:GkPrzb;uuQkY:u2V3ud;vEYCNb:FaqsVd;vRlMvf:Iw9Xo;vfVwPd:lcrkwe;w3bZCb:ZPGaIb;w9w86d:XwhUEb,dt4g2b,gKD90c,lWVZVe;wQlYve:aLUfP;wR5FRb:O1Gjze,TtcOte;wV5Pjc:L8KGxe;x9N9ie:KH4Qof;xBbsrc:NEW1Qc;xbe2wc:wbTLEd;xpaRob:AVqZ9b;yiL5Ab:MT0ZBd;ysNiMc:CpIBjd;yxTchf:KUM7Z;z97YGf:oug9te;zaIgPb:Sl0pxd/cb=loaded_h_0/m=X3N0Bf,attn,cdos,gwc,hsm,jsa,mb4ZUb,cEt90b,SNUn3,qddgKe,sTsDMc,dtl0hd,eHDfl,YV5bee,d,csi?cb=121509378:1355
[   11935ms] [ERROR] Loading the image 'https://www.google.com.sg/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-R8YZRJS2XN&cid=1214735287.1785721708&gtm=45g92e67u0h2v9122632899za200zd9122632899&rcb=17&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=115616986~115938465~115938468~118395335~118897920~118897930~119337769~119527020~119896802~120125304&z=1506667226' violates the following Content Security Policy directive: "img-src 'self' data: blob: https://*.github.io https://model-assets.openrouter.ai https://img.clerk.com https://*.stripe.com https://www.googletagmanager.com www.google.com https://*.google-analytics.com https://*.googletagmanager.com https://source.unsplash.com https://t0.gstatic.com https://imagedelivery.net https://raw.githubusercontent.com https://*.algolia.io https://files.buildwithfern.com https://icons.ferndocs.com https://cdn.tldraw.com https://wrapped.openrouter.ai". The action has been blocked. @ https://openrouter.ai/openai/gpt-5.6-terra:0
[   16702ms] [WARNING] #feature-flags-init is missing @ https://static.datadoghq.com/static/v/35.128465778/js/react-core-rspack.min.js:345
[   17315ms] [WARNING] No available adapters. @ https://us5.datadoghq.com/graph/embed?token=bdc3a91439487cf8c39ce51c2dfb369dcecead6d45183bc82054f5f150e39a06&legend=true&height=318&width=981:0
[   18831ms] [ERROR] Failed to load resource: the server responded with a status of 429 () @ https://us5.datadoghq.com/api/v2/embed_query/timeseries:0
[   21366ms] [ERROR] Failed to load resource: the server responded with a status of 429 () @ https://us5.datadoghq.com/api/v2/embed_query/timeseries:0
[   26232ms] [WARNING] #feature-flags-init is missing @ https://static.datadoghq.com/static/v/35.128465778/js/react-core-rspack.min.js:345
[   26876ms] [WARNING] #feature-flags-init is missing @ https://static.datadoghq.com/static/v/35.128465778/js/react-core-rspack.min.js:345
[   27323ms] [WARNING] No available adapters. @ https://us5.datadoghq.com/graph/embed?token=833c3ac91af9b0ba77b1cc932d086dbf01e93a9b812f653197f367384367ed77&legend=true&height=318&width=981:153
[   27377ms] [WARNING] No available adapters. @ https://us5.datadoghq.com/graph/embed?token=6811eb2ede6d04c14f532d13d24151a198cecd461c55b6565d5d317cfcdcc14b&legend=true&height=318&width=981:153
